character,writing_level,traditional,examples
讳,,諱,忌讳
贿,,賄,贿赂 受贿
秽,,穢,污秽
浑,,渾,浑身
魂,,魂,魂 灵魂
豁,,豁,豁 豁出去 豁达
祸,,禍,车祸 祸害 罪魁祸首
惑,,惑,困惑 迷惑 迷惑不解 疑惑 诱惑
霍,,霍,霍乱
讥,,譏,讥笑
饥,,飢,饥饿 忍饥挨饿
缉,,緝,通缉
畸,,畸,畸形
稽,,稽,滑稽
棘,,棘,棘手 荆棘
嫉,,嫉,嫉妒
脊,,脊,脊梁
忌,,忌,妒忌 忌 忌讳 忌口 禁忌
剂,,劑,剂 洗涤剂 兴奋剂
迹,,蹟/跡,古迹 轨迹 痕迹 迹象 奇迹
祭,,祭,祭 祭奠 祭祀
寂,,寂,寂静 寂寞
颊,,頰,脸颊
贾,,賈,商贾
嫁,,嫁,嫁 嫁妆
稼,,稼,庄稼
奸,,奸,奸诈
歼,,殲,歼灭
兼,,兼,兼 兼顾 兼任 兼容 兼职
煎,,煎,煎
拣,,揀,拣
柬,,柬,请柬
俭,,儉,节俭 勤工俭学
荐,,薦,推荐
贱,,賤,贱
溅,,濺,溅
姜,,薑,姜
浆,,漿,豆浆
僵,,僵,僵 僵化 僵局
疆,,疆,边疆
桨,,槳,船桨
匠,,匠,别具匠心 木匠
浇,,澆,浇
娇,,嬌,娇惯 娇气
椒,,椒,辣椒
跤,,跤,摔跤
礁,,礁,礁石
嚼,,嚼,嚼
狡,,狡,狡猾
绞,,絞,绞
矫,,矯,矫正
搅,,攪,打搅 搅 搅拌
缴,,繳,缴 缴费 缴纳
轿,,轎,轿车
酵,,酵,发酵
皆,,皆,比比皆是 皆
劫,,劫,浩劫 劫 劫持 抢劫
捷,,捷,便捷 快捷 敏捷
竭,,竭,竭尽全力 竭力 精疲力竭 衰竭
诫,,誡,告诫
津,,津,津津有味 津贴
筋,,筋,筋 脑筋 伤脑筋
锦,,錦,锦旗
谨,,謹,谨慎 严谨
晋,,晉,晋升
浸,,浸,沉浸 浸泡
茎,,莖,茎
荆,,荊,荆棘
晶,,晶,结晶 晶莹 水晶 液晶
兢,,兢,兢兢业业
阱,,阱,陷阱
颈,,頸,颈部 瓶颈
窘,,窘,窘迫
揪,,揪,揪
灸,,灸,针灸
舅,,舅,舅舅
拘,,拘,拘留 拘束
鞠,,鞠,鞠躬
菊,,菊,菊花
橘,,橘,橘子
沮,,沮,沮丧
矩,,矩,规矩
炬,,炬,火炬
惧,,懼,恐惧 畏惧
锯,,鋸,锯
倦,,倦,疲倦 厌倦
诀,,訣,诀别 诀窍 秘诀
掘,,掘,发掘 挖掘
崛,,崛,崛起
爵,,爵,爵士
倔,,倔,倔强 倔
君,,君,君子
钧,,鈞,千钧一发
俊,,俊,俊 俊俏 英俊
峻,,峻,严峻
骏,,駿,骏马
竣,,竣,竣工
凯,,凱,凯歌
慨,,慨,感慨 慷慨
楷,,楷,楷模
勘,,勘,勘探
堪,,堪,不堪 堪称 难堪 疲惫不堪
侃,,侃,侃大山 调侃
砍,,砍,砍
槛,,檻,门槛
慷,,慷,慷慨
扛,,扛,扛
苛,,苛,苛刻
磕,,磕,磕
壳,,殼,贝壳 壳
垦,,墾,开垦
恳,,懇,诚恳 恳求
啃,,啃,啃
坑,,坑,坑
吭,,吭,一声不吭
孔,,,
抠,,摳,抠
枯,,枯,枯燥
窟,,窟,窟窿
夸,,誇,夸 夸大 夸奖 夸夸其谈 夸耀
垮,,垮,垮
挎,,挎,挎
筐,,筐,筐
旷,,曠,旷课
框,,框,框 框架
窥,,窺,偷窥
魁,,魁,夺魁 罪魁祸首
馈,,饋,反馈 回馈
溃,,潰,崩溃
愧,,愧,惭愧 当之无愧 羞愧
昆,,昆,昆虫
捆,,捆,捆
廓,,廓,轮廓
喇,,喇,喇叭
腊,,臘,腊月
蜡,,蠟,蜡 蜡烛
兰,,蘭,伊斯兰教
拦,,攔,拦 阻拦
婪,,婪,贪婪
澜,,瀾,波澜
揽,,攬,大包大揽 揽 一揽子 招揽
缆,,纜,光缆 缆车
滥,,濫,泛滥 滥用
狼,,狼,狼 狼狈
廊,,廊,走廊
捞,,撈,打捞 捞
姥,,姥,姥姥 姥爷
唠,,嘮,唠叨
涝,,澇,涝
勒,,勒,勒
垒,,壘,堡垒
磊,,磊,光明磊落
蕾,,蕾,芭蕾
棱,,稜,棱角
愣,,愣,发愣 愣
黎,,黎,黎明
吏,,吏,官吏
隶,,隸,奴隶
粒,,粒,粒
莲,,蓮,莲子
廉,,廉,廉价 廉洁 廉正 廉政
敛,,斂,收敛
链,,鏈,项链
辽,,遼,辽阔
僚,,僚,官僚 官僚主义
寥,,寥,寥寥无几
潦,,潦,潦草
咧,,咧,大大咧咧 咧嘴
劣,,劣,恶劣 劣势 劣质 拙劣
猎,,獵,打猎 猎犬 猎人
拎,,拎,拎
淋,,淋,淋
赁,,賃,租赁
凌,,凌,凌晨 盛气凌人
陵,,陵,丘陵
岭,,嶺,山岭
溜,,溜,溜 溜达 随大溜
刘,,,
浏,,瀏,浏览 浏览器
瘤,,瘤,肿瘤
柳,,柳,柳树
遛,,遛,遛
咙,,嚨,喉咙
胧,,朧,朦胧
聋,,聾,聋 聋人
笼,,籠,灯笼 笼子 笼统 笼罩
隆,,隆,克隆 隆重
窿,,窿,窟窿
拢,,攏,靠拢 拉拢
垄,,壟,垄断
搂,,摟,搂
陋,,陋,丑陋 孤陋寡闻 简陋
芦,,蘆,芦花
卤,,滷,卤味
虏,,虜,俘虏
鲁,,魯,粗鲁 鲁莽
赂,,賂,贿赂
鹿,,鹿,鹿
碌,,碌,忙碌
吕,,,
侣,,侶,伴侣 情侣
铝,,鋁,铝
屡,,屢,屡 屡次
缕,,縷,缕
履,,履,履行
滤,,濾,过滤
孪,,孿,孪生
卵,,卵,卵
掠,,掠,掠夺
抡,,掄,抡
伦,,倫,伦理
罗,,羅,罗
萝,,蘿,萝卜
螺,,螺,螺丝
