word,pinyin,pos,english
悼念,dàoniàn,V,
道具,dàojù,N,
稻草,dàocǎo,N,
得不偿失,débùchángshī,,
得当,dédàng,Adj,
得力,délì,Adj,
得失,déshī,N,
得手,déshǒu,Adj,
得体,détǐ,Adj,
得天独厚,détiāndúhòu,,
得益于,déyì yú,,
得意扬扬,déyì-yángyáng,,
得知,dézhī,V,
得罪,dézuì,V,
德,dé,N,
灯笼,dēnglong,N,
灯泡,dēngpào,N,
登机,dēngjī,V,
登陆,dēnglù,,
蹬,dēng,V,
凳子,dèngzi,N,
瞪,dèng,V,
低调,dīdiào,N/Adj,
低估,dīgū,V,
低谷,dīgǔ,N,
低价,dījià,N,
低迷,dīmí,Adj,
低碳,dītàn,Adj,
低下,dīxià,Adj,
堤,dī,N,
堤坝,dībà,N,
提防,dīfang,V,
笛子,dízi,N,
抵触,dǐchù,V,
抵挡,dǐdǎng,V,
抵消,dǐxiāo,V,
抵押,dǐyā,V,
抵御,dǐyù,V,
抵制,dǐzhì,V,
底层,dǐcéng,N,
底线,dǐxiàn,N,
底蕴,dǐyùn,N,
底子,dǐzi,N,
地步,dìbù,N,
地道,dìdào,N,
地道,dìdao,Adj,
地段,dìduàn,N,
地理,dìlǐ,N,
地毯,dìtǎn,N,
地下水,dìxiàshuǐ,N,
地狱,dìyù,N,
地域,dìyù,N,
地质,dìzhì,N,
弟子,dìzǐ,N,
帝国,dìguó,N,
帝国主义,dìguó zhǔyì,,
递交,dìjiāo,V,
第一手,dìyīshǒu,Adj,
第一线,dìyīxiàn,N,
颠倒,diāndǎo,V,
颠覆,diānfù,V,
巅峰,diānfēng,N,
典范,diǎnfàn,N,
点火,diǎnhuǒ,,
点击率,diǎnjīlǜ,N,
点评,diǎnpíng,V/N,
点心,diǎnxin,N,
点缀,diǎnzhuì,V,
点子,diǎnzi,N,
电报,diànbào,N,
电铃,diànlíng,N,
电网,diànwǎng,N,
电线,diànxiàn,N,
电信,diànxìn,N,
电讯,diànxùn,N,
垫,diàn,V,
垫底,diàndǐ,,
垫子,diànzi,N,
淀粉,diànfěn,N,
惦记,diànjì,V,
奠定,diàndìng,V,
殿堂,diàntáng,N,
刁难,diāonàn,V,
叼,diāo,V,
雕,diāo,V,
雕刻,diāokè,V/N,
雕塑,diāosù,V/N,
吊销,diàoxiāo,V,
钓鱼,diàoyú,V,
调度,diàodù,V/N,
掉队,diàoduì,,
掉头,diàotóu,,
爹,diē,N,
迭起,diéqǐ,V,
叠,dié,V,
丁,dīng,N,
叮嘱,dīngzhǔ,V,
盯,dīng,V,
钉子,dīngzi,N,
顶多,dǐngduō,Adv,
顶级,dǐngjí,Adj,
顶尖,dǐngjiān,N/Adj,
订单,dìngdān,N,
订购,dìnggòu,V,
订婚,dìnghūn,,
订立,dìnglì,V,
钉,dìng,V,
定金,dìngjīn,N,
定居,dìngjū,,
定论,dìnglùn,N,
定为,dìngwéi,,
定向,dìngxiàng,V,
定心丸,dìngxīnwán,N,
定义,dìngyì,N,
定做,dìngzuò,V,
丢掉,diūdiào,V,
丢脸,diūliǎn,,
丢弃,diūqì,V,
丢人,diūrén,,
丢失,diūshī,V,
东奔西走,dōngbēn-xīzǒu,,
东道主,dōngdàozhǔ,N,
东张西望,dōngzhāng-xīwàng,,
董事,dǒngshì,N,
董事会,dǒngshìhuì,N,
董事长,dǒngshìzhǎng,N,
懂事,dǒngshì,,
动不动,dòngbudòng,Adv,
动荡,dòngdàng,V/Adj,
动感,dònggǎn,N,
动工,dònggōng,,
动静,dòngjing,N,
动脉,dòngmài,N,
动身,dòngshēn,,
动弹,dòngtan,V,
动听,dòngtīng,Adj,
动向,dòngxiàng,N,
动用,dòngyòng,V,
冻结,dòngjié,V,
栋,dòng,M,
栋梁,dòngliáng,N,
兜,dōu,V,
兜儿,dōur,N,
兜售,dōushòu,V,
抖,dǒu,V,
陡,dǒu,Adj,
斗,dòu,V,
斗志,dòuzhì,N,
豆浆,dòujiāng,N,
豆子,dòuzi,N,
逗,dòu,V/Adj,
都会,dūhuì,N,
督促,dūcù,V,
独,dú,Adv,
独唱,dúchàng,V,
独家,dújiā,N,
独立自主,dúlì-zìzhǔ,,
独身,dúshēn,V,
独一无二,dúyī-wú'èr,,
堵塞,dǔsè,V,
杜绝,dùjué,V,
妒忌,dùjì,V,
度,dù,Suffix,
知名度,zhīmíngdù,N,
度假,dùjià,V,
渡过,dùguò,,
端正,duānzhèng,Adj/V,
短缺,duǎnquē,V,
短暂,duǎnzàn,Adj,
段落,duànluò,N,
断定,duàndìng,V,
断断续续,duànduànxùxù,Adj,
断裂,duànliè,V,
堆砌,duīqì,V,
队形,duìxíng,N,
对白,duìbái,N,
对策,duìcè,N,
对称,duìchèn,Adj,
对得起,duìdeqǐ,V,
对联,duìlián,N,
对弈,duìyì,V,
对照,duìzhào,V,
对峙,duìzhì,V,
对准,duìzhǔn,,
兑换,duìhuàn,V,
兑现,duìxiàn,V,
敦促,dūncù,V,
敦厚,dūnhòu,Adj,
炖,dùn,V,
顿时,dùnshí,Adv,
多边,duōbiān,Adj,
多功能,duōgōngnéng,Adj,
多亏,duōkuī,V,
多劳多得,duōláo-duōdé,,
多年来,duō nián lái,,
多心,duōxīn,,
多余,duōyú,V/Adj,
多元,duōyuán,Adj,
哆嗦,duōsuo,V,
夺冠,duóguàn,,
夺魁,duókuí,,
躲避,duǒbì,V,
躲藏,duǒcáng,V,
舵手,duòshǒu,N,
堕落,duòluò,V,
讹诈,ézhà,V,
俄语,Éyǔ,N,
鹅,é,N,
额外,éwài,Adj,
厄运,èyùn,N,
恶,è,Adj,
恶化,èhuà,V,
恶劣,èliè,Adj,
恶性,èxìng,Adj,
恶意,èyì,N,
遏制,èzhì,V,
鳄鱼,èyú,N,
恩赐,ēncì,V,
恩惠,ēnhuì,N,
恩情,ēnqíng,N,
恩怨,ēnyuàn,N,
而已,éryǐ,Aux,
耳光,ěrguāng,N,
耳目一新,ěrmù-yīxīn,,
耳熟能详,ěrshú-néngxiáng,,
