character,writing_level,traditional,examples
异,,異,差异 异常 变异 诧异 大同小异
隐,,隱,隐藏 隐私 隐蔽 隐患 隐瞒
忧,,憂,担忧 后顾之忧 无忧无虑 忧愁 忧虑
娱,,娛,文娱 娱乐
愉,3,愉,愉快
予,,予,给予 不予 赋予 授予 予以
宇,,宇,宇航员 宇宙
欲,,慾/欲,食欲 随心所欲 摇摇欲坠 欲望
誉,,譽,名誉 沽名钓誉 荣誉 声誉 信誉
援,,援,救援 援助 支援 外援
缘,,緣,边缘 缘故 绝缘 人缘儿 无缘
跃,,躍,活跃 飞跃 跳跃 踊跃
晕,3,暈,晕 晕车 头晕 晕倒
允,,允,允许
遭,,遭,遭到 遭受 遭遇 遭殃
扎,,扎/紮,扎 扎实 包扎 扎根 挣扎
炸,,炸,爆炸 炸 炸弹 炸药 轰炸
宅,,宅,住宅
债,,債,债 债务
账,,賬,账 账户 算账 账单 账号
障,,障,故障 障碍 保障
哲,,哲,哲学
镇,,鎮,城镇 镇 镇定
症,,症/癥,症状 癌症 病症 后遗症 炎症
枝,,枝,枝 树枝
殖,,殖,繁殖 养殖
忠,,忠,忠心 忠诚 忠实 忠于 忠贞
肿,,腫,肿 肿瘤
粥,,粥,粥 一锅粥
诸,,諸,诸位 诸多 诸如此类
煮,,煮,煮
驻,,駐,驻
柱,,柱,柱子 支柱
赚,,賺,赚 赚钱
庄,3,莊,村庄 庄稼 庄严 庄园
壮,,壯,强壮 壮观 健壮 理直气壮 壮
捉,,捉,捉 捕捉 捉迷藏
咨,,咨,咨询
宗,,宗,宗教 大宗 正宗 宗 宗旨
纵,,縱,操纵 放纵 纵观 纵横交错 纵然
奏,,奏,节奏 演奏 奏 伴奏 奏效
祖,,祖,祖父 祖国 祖母 祖传 祖籍
钻,,鑽,钻 钻空子 钻研 钻石
罪,,罪,犯罪 罪 罪恶 得罪 罪犯
